Person 1: (41, 11), status: INFECTED, was infected 0 time(s).
Person 51: (37, 10), status: SUSCEPTIBLE, was infected 0 time(s).
Person 52: (4, 49), status: INFECTED, was infected 1 time(s).
Person 53: (18, 28), status: INFECTED, was infected 1 time(s).
Person 54: (17, 18), status: INFECTED, was infected 0 time(s).
Person 55: (50, 14), status: SUSCEPTIBLE, was infected 0 time(s).
Person 56: (47, 35), status: INFECTED, was infected 0 time(s).
Person 57: (47, 0), status: INFECTED, was infected 1 time(s).
Person 58: (0, 20), status: INFECTED, was infected 0 time(s).
Person 59: (31, 5), status: INFECTED, was infected 1 time(s).
Person 60: (26, 45), status: INFECTED, was infected 1 time(s).
Person 61: (44, 17), status: SUSCEPTIBLE, was infected 0 time(s).
Person 62: (36, 34), status: INFECTED, was infected 1 time(s).
Person 63: (49, 15), status: INFECTED, was infected 1 time(s).
Person 64: (6, 14), status: INFECTED, was infected 0 time(s).
Person 65: (39, 49), status: INFECTED, was infected 0 time(s).
Person 66: (19, 41), status: INFECTED, was infected 1 time(s).
Person 67: (47, 0), status: INFECTED, was infected 0 time(s).
Person 68: (0, 26), status: INFECTED, was infected 1 time(s).
Person 69: (40, 27), status: INFECTED, was infected 1 time(s).
Person 70: (12, 49), status: INFECTED, was infected 1 time(s).
Person 71: (13, 14), status: INFECTED, was infected 0 time(s).
Person 72: (3, 49), status: INFECTED, was infected 1 time(s).
Person 73: (50, 46), status: SUSCEPTIBLE, was infected 0 time(s).
Person 74: (47, 18), status: INFECTED, was infected 1 time(s).
Person 75: (9, 35), status: INFECTED, was infected 0 time(s).
Person 76: (17, 47), status: SUSCEPTIBLE, was infected 0 time(s).
Person 77: (6, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 78: (0, 44), status: INFECTED, was infected 0 time(s).
Person 79: (16, 23), status: SUSCEPTIBLE, was infected 0 time(s).
Person 80: (22, 20), status: INFECTED, was infected 1 time(s).
Person 81: (18, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 82: (11, 17), status: INFECTED, was infected 0 time(s).
Person 83: (6, 7), status: INFECTED, was infected 0 time(s).
Person 84: (13, 45), status: INFECTED, was infected 1 time(s).
Person 85: (50, 18), status: SUSCEPTIBLE, was infected 0 time(s).
Person 86: (0, 34), status: INFECTED, was infected 1 time(s).
Person 87: (13, 29), status: INFECTED, was infected 1 time(s).
Person 88: (35, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 89: (22, 8), status: SUSCEPTIBLE, was infected 0 time(s).
Person 90: (47, 49), status: INFECTED, was infected 0 time(s).
Person 91: (13, 36), status: INFECTED, was infected 0 time(s).
Person 92: (15, 45), status: INFECTED, was infected 0 time(s).
Person 93: (15, 0), status: INFECTED, was infected 1 time(s).
Person 94: (13, 36), status: INFECTED, was infected 0 time(s).
Person 95: (48, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 96: (34, 6), status: INFECTED, was infected 0 time(s).
Person 97: (50, 22), status: INFECTED, was infected 0 time(s).
Person 98: (20, 49), status: INFECTED, was infected 1 time(s).
Person 99: (14, 42), status: SUSCEPTIBLE, was infected 0 time(s).
Person 100: (49, 37), status: INFECTED, was infected 1 time(s).
Person 101: (24, 16), status: INFECTED, was infected 1 time(s).
Person 102: (8, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 103: (45, 33), status: INFECTED, was infected 0 time(s).
Person 104: (43, 24), status: INFECTED, was infected 1 time(s).
Person 105: (2, 36), status: INFECTED, was infected 1 time(s).
Person 106: (0, 16), status: INFECTED, was infected 1 time(s).
Person 107: (7, 33), status: INFECTED, was infected 0 time(s).
Person 108: (46, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 109: (27, 22), status: INFECTED, was infected 1 time(s).
Person 110: (17, 29), status: INFECTED, was infected 1 time(s).
Person 111: (22, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 112: (49, 36), status: INFECTED, was infected 0 time(s).
Person 113: (21, 34), status: SUSCEPTIBLE, was infected 0 time(s).
Person 114: (32, 27), status: INFECTED, was infected 1 time(s).
Person 115: (19, 0), status: INFECTED, was infected 1 time(s).
Person 116: (9, 23), status: INFECTED, was infected 1 time(s).
Person 117: (43, 1), status: SUSCEPTIBLE, was infected 0 time(s).
Person 118: (0, 33), status: INFECTED, was infected 0 time(s).
Person 119: (28, 11), status: INFECTED, was infected 1 time(s).
Person 120: (25, 6), status: INFECTED, was infected 0 time(s).
Person 121: (22, 0), status: INFECTED, was infected 1 time(s).
Person 122: (35, 5), status: INFECTED, was infected 0 time(s).
Person 123: (29, 0), status: INFECTED, was infected 0 time(s).
Person 124: (31, 19), status: INFECTED, was infected 1 time(s).
Person 125: (7, 0), status: INFECTED, was infected 0 time(s).
Person 126: (38, 7), status: SUSCEPTIBLE, was infected 0 time(s).
Person 127: (27, 0), status: INFECTED, was infected 1 time(s).
Person 128: (21, 24), status: INFECTED, was infected 1 time(s).
Person 129: (0, 11), status: INFECTED, was infected 0 time(s).
Person 130: (36, 34), status: INFECTED, was infected 0 time(s).
Person 131: (23, 19), status: INFECTED, was infected 1 time(s).
Person 132: (10, 20), status: INFECTED, was infected 1 time(s).
Person 133: (38, 44), status: SUSCEPTIBLE, was infected 0 time(s).
Person 134: (0, 48), status: INFECTED, was infected 0 time(s).
Person 135: (14, 49), status: INFECTED, was infected 1 time(s).
Person 136: (40, 23), status: INFECTED, was infected 1 time(s).
Person 137: (49, 40), status: INFECTED, was infected 1 time(s).
Person 138: (0, 4), status: INFECTED, was infected 1 time(s).
Person 139: (32, 49), status: INFECTED, was infected 1 time(s).
Person 140: (18, 48), status: INFECTED, was infected 1 time(s).
Person 141: (31, 0), status: INFECTED, was infected 1 time(s).
Person 142: (9, 15), status: SUSCEPTIBLE, was infected 0 time(s).
Person 143: (27, 25), status: INFECTED, was infected 1 time(s).
Person 144: (30, 48), status: INFECTED, was infected 1 time(s).
Person 145: (39, 19), status: INFECTED, was infected 1 time(s).
Person 146: (46, 0), status: INFECTED, was infected 0 time(s).
Person 147: (16, 11), status: INFECTED, was infected 0 time(s).
Person 148: (47, 28), status: INFECTED, was infected 1 time(s).
Person 149: (29, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 150: (22, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 151: (19, 15), status: INFECTED, was infected 1 time(s).
Person 152: (25, 19), status: SUSCEPTIBLE, was infected 0 time(s).
Person 153: (0, 45), status: INFECTED, was infected 1 time(s).
Person 154: (3, 12), status: INFECTED, was infected 1 time(s).
Person 155: (0, 49), status: INFECTED, was infected 1 time(s).
Person 156: (45, 28), status: INFECTED, was infected 0 time(s).
Person 157: (48, 23), status: INFECTED, was infected 0 time(s).
Person 158: (28, 46), status: SUSCEPTIBLE, was infected 0 time(s).
Person 159: (19, 16), status: INFECTED, was infected 0 time(s).
Person 160: (36, 37), status: INFECTED, was infected 0 time(s).
Person 161: (14, 23), status: SUSCEPTIBLE, was infected 0 time(s).
Person 162: (0, 17), status: INFECTED, was infected 1 time(s).
Person 163: (4, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 164: (35, 5), status: INFECTED, was infected 0 time(s).
Person 165: (33, 28), status: INFECTED, was infected 0 time(s).
Person 166: (0, 22), status: INFECTED, was infected 1 time(s).
Person 167: (20, 19), status: INFECTED, was infected 1 time(s).
Person 168: (32, 37), status: SUSCEPTIBLE, was infected 0 time(s).
Person 169: (3, 48), status: INFECTED, was infected 1 time(s).
Person 170: (21, 27), status: INFECTED, was infected 1 time(s).
Person 171: (49, 12), status: INFECTED, was infected 0 time(s).
Person 172: (45, 0), status: INFECTED, was infected 1 time(s).
Person 173: (0, 44), status: INFECTED, was infected 1 time(s).
Person 174: (7, 13), status: INFECTED, was infected 0 time(s).
Person 175: (32, 16), status: SUSCEPTIBLE, was infected 0 time(s).
Person 176: (31, 16), status: INFECTED, was infected 1 time(s).
Person 177: (36, 25), status: INFECTED, was infected 0 time(s).
Person 178: (35, 37), status: INFECTED, was infected 0 time(s).
Person 179: (36, 4), status: INFECTED, was infected 0 time(s).
Person 180: (11, 9), status: INFECTED, was infected 0 time(s).
Person 181: (30, 44), status: INFECTED, was infected 0 time(s).
Person 182: (27, 32), status: INFECTED, was infected 0 time(s).
Person 183: (26, 49), status: INFECTED, was infected 1 time(s).
Person 184: (33, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 185: (36, 39), status: INFECTED, was infected 0 time(s).
Person 186: (15, 16), status: INFECTED, was infected 0 time(s).
Person 187: (20, 16), status: INFECTED, was infected 0 time(s).
Person 188: (19, 3), status: INFECTED, was infected 1 time(s).
Person 189: (27, 6), status: INFECTED, was infected 1 time(s).
Person 190: (44, 14), status: INFECTED, was infected 1 time(s).
Person 191: (0, 23), status: INFECTED, was infected 1 time(s).
Person 192: (49, 48), status: INFECTED, was infected 1 time(s).
Person 193: (49, 28), status: INFECTED, was infected 1 time(s).
Person 194: (28, 25), status: INFECTED, was infected 1 time(s).
Person 195: (12, 15), status: SUSCEPTIBLE, was infected 0 time(s).
Person 196: (20, 34), status: INFECTED, was infected 1 time(s).
Person 197: (46, 27), status: INFECTED, was infected 1 time(s).
Person 198: (40, 16), status: INFECTED, was infected 1 time(s).
Person 199: (39, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 200: (14, 34), status: SUSCEPTIBLE, was infected 0 time(s).
Person 201: (4, 14), status: INFECTED, was infected 1 time(s).
Person 202: (14, 13), status: INFECTED, was infected 1 time(s).
Person 203: (0, 38), status: INFECTED, was infected 0 time(s).
Person 204: (14, 19), status: INFECTED, was infected 0 time(s).
Person 205: (48, 23), status: INFECTED, was infected 1 time(s).
Person 206: (0, 2), status: INFECTED, was infected 0 time(s).
Person 207: (17, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 208: (26, 34), status: INFECTED, was infected 1 time(s).
Person 209: (50, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 210: (32, 49), status: INFECTED, was infected 0 time(s).
Person 211: (41, 20), status: INFECTED, was infected 1 time(s).
Person 212: (22, 18), status: INFECTED, was infected 1 time(s).
Person 213: (38, 44), status: SUSCEPTIBLE, was infected 0 time(s).
Person 214: (0, 42), status: INFECTED, was infected 1 time(s).
Person 215: (13, 25), status: INFECTED, was infected 1 time(s).
Person 216: (0, 5), status: INFECTED, was infected 0 time(s).
Person 217: (30, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 218: (13, 14), status: INFECTED, was infected 0 time(s).
Person 219: (37, 34), status: INFECTED, was infected 0 time(s).
Person 220: (21, 3), status: SUSCEPTIBLE, was infected 0 time(s).
Person 221: (47, 40), status: INFECTED, was infected 1 time(s).
Person 222: (49, 11), status: INFECTED, was infected 1 time(s).
Person 223: (36, 49), status: INFECTED, was infected 1 time(s).
Person 224: (20, 6), status: SUSCEPTIBLE, was infected 0 time(s).
Person 225: (0, 41), status: INFECTED, was infected 1 time(s).
Person 226: (7, 0), status: INFECTED, was infected 0 time(s).
Person 227: (46, 43), status: SUSCEPTIBLE, was infected 0 time(s).
Person 228: (49, 48), status: INFECTED, was infected 0 time(s).
Person 229: (44, 25), status: INFECTED, was infected 0 time(s).
Person 230: (28, 27), status: SUSCEPTIBLE, was infected 0 time(s).
Person 231: (9, 13), status: INFECTED, was infected 1 time(s).
Person 232: (41, 3), status: SUSCEPTIBLE, was infected 0 time(s).
Person 233: (0, 0), status: INFECTED, was infected 1 time(s).
Person 234: (18, 8), status: INFECTED, was infected 1 time(s).
Person 235: (4, 25), status: SUSCEPTIBLE, was infected 0 time(s).
Person 236: (17, 28), status: SUSCEPTIBLE, was infected 0 time(s).
Person 237: (49, 35), status: INFECTED, was infected 1 time(s).
Person 238: (0, 25), status: INFECTED, was infected 1 time(s).
Person 239: (38, 2), status: SUSCEPTIBLE, was infected 0 time(s).
Person 240: (32, 49), status: INFECTED, was infected 1 time(s).
Person 241: (45, 22), status: INFECTED, was infected 1 time(s).
Person 242: (20, 38), status: INFECTED, was infected 0 time(s).
Person 243: (6, 42), status: INFECTED, was infected 1 time(s).
Person 244: (5, 31), status: SUSCEPTIBLE, was infected 0 time(s).
Person 245: (49, 7), status: INFECTED, was infected 1 time(s).
Person 246: (32, 49), status: INFECTED, was infected 1 time(s).
Person 247: (24, 23), status: INFECTED, was infected 1 time(s).
Person 248: (37, 25), status: INFECTED, was infected 1 time(s).
Person 249: (31, 49), status: INFECTED, was infected 0 time(s).
Person 250: (24, 43), status: SUSCEPTIBLE, was infected 0 time(s).
Person 251: (42, 19), status: INFECTED, was infected 0 time(s).
Person 252: (29, 39), status: INFECTED, was infected 0 time(s).
Person 253: (38, 0), status: INFECTED, was infected 0 time(s).
Person 254: (0, 25), status: INFECTED, was infected 0 time(s).
Person 255: (28, 21), status: INFECTED, was infected 1 time(s).
Person 256: (0, 40), status: INFECTED, was infected 1 time(s).
Person 257: (38, 3), status: SUSCEPTIBLE, was infected 0 time(s).
Person 258: (2, 38), status: SUSCEPTIBLE, was infected 0 time(s).
Person 259: (10, 0), status: INFECTED, was infected 1 time(s).
Person 260: (34, 25), status: INFECTED, was infected 0 time(s).
Person 261: (17, 23), status: INFECTED, was infected 1 time(s).
Person 262: (1, 2), status: INFECTED, was infected 0 time(s).
Person 263: (17, 0), status: INFECTED, was infected 1 time(s).
Person 264: (9, 17), status: SUSCEPTIBLE, was infected 0 time(s).
Person 265: (21, 49), status: INFECTED, was infected 1 time(s).
Person 266: (6, 7), status: INFECTED, was infected 0 time(s).
Person 267: (0, 48), status: INFECTED, was infected 1 time(s).
Person 268: (0, 18), status: INFECTED, was infected 1 time(s).
Person 269: (19, 39), status: INFECTED, was infected 1 time(s).
Person 270: (5, 27), status: INFECTED, was infected 0 time(s).
Person 271: (49, 31), status: INFECTED, was infected 1 time(s).
Person 272: (43, 31), status: INFECTED, was infected 1 time(s).
Person 273: (7, 30), status: INFECTED, was infected 1 time(s).
Person 274: (49, 45), status: INFECTED, was infected 1 time(s).
Person 275: (8, 22), status: INFECTED, was infected 1 time(s).
Person 276: (40, 25), status: INFECTED, was infected 1 time(s).
Person 277: (49, 2), status: INFECTED, was infected 0 time(s).
Person 278: (12, 16), status: INFECTED, was infected 1 time(s).
Person 279: (47, 37), status: INFECTED, was infected 1 time(s).
Person 280: (38, 14), status: INFECTED, was infected 0 time(s).
Person 281: (0, 31), status: INFECTED, was infected 1 time(s).
Person 282: (49, 12), status: INFECTED, was infected 1 time(s).
Person 283: (49, 34), status: INFECTED, was infected 1 time(s).
Person 284: (23, 41), status: INFECTED, was infected 1 time(s).
Person 285: (0, 1), status: INFECTED, was infected 1 time(s).
Person 286: (24, 41), status: INFECTED, was infected 0 time(s).
Person 287: (49, 20), status: INFECTED, was infected 1 time(s).
Person 288: (31, 5), status: INFECTED, was infected 1 time(s).
Person 289: (18, 20), status: INFECTED, was infected 1 time(s).
Person 290: (37, 14), status: INFECTED, was infected 0 time(s).
Person 291: (0, 16), status: INFECTED, was infected 1 time(s).
Person 292: (0, 43), status: INFECTED, was infected 1 time(s).
Person 293: (7, 49), status: INFECTED, was infected 0 time(s).
Person 294: (9, 43), status: INFECTED, was infected 0 time(s).
Person 295: (4, 6), status: SUSCEPTIBLE, was infected 0 time(s).
Person 296: (11, 0), status: INFECTED, was infected 0 time(s).
Person 297: (18, 23), status: INFECTED, was infected 1 time(s).
Person 298: (49, 5), status: INFECTED, was infected 1 time(s).
Person 299: (21, 16), status: SUSCEPTIBLE, was infected 0 time(s).
Person 300: (18, 0), status: INFECTED, was infected 1 time(s).
Person 301: (46, 24), status: INFECTED, was infected 0 time(s).
Person 302: (0, 46), status: INFECTED, was infected 1 time(s).
Person 303: (3, 49), status: INFECTED, was infected 0 time(s).
Person 304: (33, 0), status: INFECTED, was infected 0 time(s).
Person 305: (27, 6), status: INFECTED, was infected 0 time(s).
Person 306: (30, 10), status: INFECTED, was infected 1 time(s).
Person 307: (15, 1), status: SUSCEPTIBLE, was infected 0 time(s).
Person 308: (13, 45), status: INFECTED, was infected 1 time(s).
Person 309: (49, 37), status: INFECTED, was infected 1 time(s).
Person 310: (39, 0), status: INFECTED, was infected 1 time(s).
Person 311: (23, 5), status: INFECTED, was infected 0 time(s).
Person 312: (9, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 313: (25, 0), status: INFECTED, was infected 1 time(s).
Person 314: (4, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 315: (10, 0), status: INFECTED, was infected 1 time(s).
Person 316: (9, 26), status: SUSCEPTIBLE, was infected 0 time(s).
Person 317: (3, 12), status: INFECTED, was infected 1 time(s).
Person 318: (49, 26), status: INFECTED, was infected 1 time(s).
Person 319: (36, 14), status: SUSCEPTIBLE, was infected 0 time(s).
Person 320: (16, 30), status: INFECTED, was infected 0 time(s).
Person 321: (24, 16), status: INFECTED, was infected 0 time(s).
Person 322: (15, 14), status: INFECTED, was infected 0 time(s).
Person 323: (39, 20), status: SUSCEPTIBLE, was infected 0 time(s).
Person 324: (0, 6), status: INFECTED, was infected 1 time(s).
Person 325: (29, 9), status: INFECTED, was infected 1 time(s).
Person 326: (0, 3), status: INFECTED, was infected 1 time(s).
Person 327: (15, 0), status: INFECTED, was infected 1 time(s).
Person 328: (5, 49), status: INFECTED, was infected 1 time(s).
Person 329: (5, 49), status: INFECTED, was infected 1 time(s).
Person 330: (20, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 331: (13, 17), status: INFECTED, was infected 1 time(s).
Person 332: (18, 18), status: SUSCEPTIBLE, was infected 0 time(s).
Person 333: (2, 2), status: INFECTED, was infected 0 time(s).
Person 334: (18, 22), status: SUSCEPTIBLE, was infected 0 time(s).
Person 335: (30, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 336: (38, 46), status: INFECTED, was infected 0 time(s).
Person 337: (45, 46), status: INFECTED, was infected 1 time(s).
Person 338: (0, 1), status: INFECTED, was infected 1 time(s).
Person 339: (0, 11), status: INFECTED, was infected 0 time(s).
Person 340: (0, 10), status: INFECTED, was infected 1 time(s).
Person 341: (18, 39), status: INFECTED, was infected 1 time(s).
Person 342: (7, 28), status: INFECTED, was infected 1 time(s).
Person 343: (0, 19), status: INFECTED, was infected 0 time(s).
Person 344: (16, 25), status: INFECTED, was infected 1 time(s).
Person 345: (0, 47), status: INFECTED, was infected 1 time(s).
Person 346: (49, 16), status: INFECTED, was infected 1 time(s).
Person 347: (4, 32), status: INFECTED, was infected 1 time(s).
Person 348: (47, 33), status: INFECTED, was infected 0 time(s).
Person 349: (18, 11), status: INFECTED, was infected 1 time(s).
Person 350: (44, 16), status: INFECTED, was infected 1 time(s).
Person 351: (26, 9), status: SUSCEPTIBLE, was infected 0 time(s).
Person 352: (21, 32), status: INFECTED, was infected 1 time(s).
Person 353: (6, 44), status: INFECTED, was infected 0 time(s).
Person 354: (7, 32), status: INFECTED, was infected 1 time(s).
Person 355: (35, 22), status: INFECTED, was infected 1 time(s).
Person 356: (35, 40), status: INFECTED, was infected 1 time(s).
Person 357: (19, 32), status: INFECTED, was infected 1 time(s).
Person 358: (49, 17), status: INFECTED, was infected 0 time(s).
Person 359: (49, 34), status: INFECTED, was infected 1 time(s).
Person 360: (37, 39), status: INFECTED, was infected 1 time(s).
Person 361: (43, 14), status: INFECTED, was infected 0 time(s).
Person 362: (47, 49), status: INFECTED, was infected 1 time(s).
Person 363: (24, 22), status: INFECTED, was infected 1 time(s).
Person 364: (26, 34), status: INFECTED, was infected 1 time(s).
Person 365: (38, 40), status: SUSCEPTIBLE, was infected 0 time(s).
Person 366: (0, 37), status: INFECTED, was infected 0 time(s).
Person 367: (27, 5), status: INFECTED, was infected 0 time(s).
Person 368: (6, 17), status: INFECTED, was infected 0 time(s).
Person 369: (37, 43), status: INFECTED, was infected 0 time(s).
Person 370: (45, 25), status: INFECTED, was infected 1 time(s).
Person 371: (23, 0), status: INFECTED, was infected 1 time(s).
Person 372: (37, 20), status: INFECTED, was infected 1 time(s).
Person 373: (43, 3), status: SUSCEPTIBLE, was infected 0 time(s).
Person 374: (40, 21), status: INFECTED, was infected 1 time(s).
Person 375: (39, 25), status: INFECTED, was infected 1 time(s).
Person 376: (0, 28), status: INFECTED, was infected 1 time(s).
Person 377: (50, 7), status: SUSCEPTIBLE, was infected 0 time(s).
Person 378: (0, 38), status: INFECTED, was infected 0 time(s).
Person 379: (18, 44), status: SUSCEPTIBLE, was infected 0 time(s).
Person 380: (0, 0), status: INFECTED, was infected 1 time(s).
Person 381: (11, 49), status: INFECTED, was infected 1 time(s).
Person 382: (29, 42), status: INFECTED, was infected 0 time(s).
Person 383: (36, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 384: (33, 17), status: INFECTED, was infected 1 time(s).
Person 385: (13, 10), status: SUSCEPTIBLE, was infected 0 time(s).
Person 386: (0, 4), status: INFECTED, was infected 1 time(s).
Person 387: (48, 0), status: INFECTED, was infected 1 time(s).
Person 388: (7, 42), status: INFECTED, was infected 0 time(s).
Person 389: (26, 0), status: INFECTED, was infected 1 time(s).
Person 390: (6, 46), status: INFECTED, was infected 1 time(s).
Person 391: (7, 5), status: SUSCEPTIBLE, was infected 0 time(s).
Person 392: (41, 26), status: INFECTED, was infected 0 time(s).
Person 393: (49, 48), status: INFECTED, was infected 1 time(s).
Person 394: (3, 37), status: INFECTED, was infected 1 time(s).
Person 395: (23, 42), status: INFECTED, was infected 1 time(s).
Person 396: (35, 25), status: INFECTED, was infected 0 time(s).
Person 397: (36, 0), status: INFECTED, was infected 0 time(s).
Person 398: (0, 4), status: INFECTED, was infected 1 time(s).
Person 399: (14, 0), status: INFECTED, was infected 1 time(s).
Person 400: (49, 33), status: INFECTED, was infected 1 time(s).
Person 401: (41, 7), status: SUSCEPTIBLE, was infected 0 time(s).
Person 402: (49, 33), status: INFECTED, was infected 1 time(s).
Person 403: (38, 9), status: INFECTED, was infected 0 time(s).
Person 404: (22, 30), status: SUSCEPTIBLE, was infected 0 time(s).
Person 405: (6, 49), status: INFECTED, was infected 1 time(s).
Person 406: (25, 26), status: INFECTED, was infected 1 time(s).
Person 407: (28, 22), status: INFECTED, was infected 1 time(s).
Person 408: (28, 18), status: INFECTED, was infected 0 time(s).
Person 409: (30, 49), status: INFECTED, was infected 1 time(s).
Person 410: (42, 47), status: INFECTED, was infected 0 time(s).
Person 411: (12, 27), status: INFECTED, was infected 0 time(s).
Person 412: (26, 15), status: INFECTED, was infected 0 time(s).
Person 413: (36, 20), status: INFECTED, was infected 1 time(s).
Person 414: (2, 6), status: INFECTED, was infected 1 time(s).
Person 415: (47, 11), status: INFECTED, was infected 0 time(s).
Person 416: (35, 49), status: INFECTED, was infected 0 time(s).
Person 417: (33, 29), status: INFECTED, was infected 0 time(s).
Person 418: (18, 49), status: INFECTED, was infected 1 time(s).
Person 419: (49, 36), status: INFECTED, was infected 1 time(s).
Person 420: (7, 31), status: INFECTED, was infected 1 time(s).
Person 421: (47, 27), status: INFECTED, was infected 1 time(s).
Person 422: (37, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 423: (23, 45), status: SUSCEPTIBLE, was infected 0 time(s).
Person 424: (17, 19), status: INFECTED, was infected 1 time(s).
Person 425: (34, 24), status: SUSCEPTIBLE, was infected 0 time(s).
Person 426: (1, 4), status: SUSCEPTIBLE, was infected 0 time(s).
Person 427: (31, 16), status: INFECTED, was infected 1 time(s).
Person 428: (43, 17), status: INFECTED, was infected 0 time(s).
Person 429: (27, 48), status: INFECTED, was infected 0 time(s).
Person 430: (0, 0), status: INFECTED, was infected 1 time(s).
Person 431: (46, 16), status: INFECTED, was infected 1 time(s).
Person 432: (29, 22), status: SUSCEPTIBLE, was infected 0 time(s).
Person 433: (0, 34), status: INFECTED, was infected 1 time(s).
Person 434: (43, 31), status: INFECTED, was infected 0 time(s).
Person 435: (41, 47), status: INFECTED, was infected 1 time(s).
Person 436: (47, 49), status: INFECTED, was infected 1 time(s).
Person 437: (2, 49), status: INFECTED, was infected 1 time(s).
Person 438: (0, 3), status: INFECTED, was infected 1 time(s).
Person 439: (11, 12), status: SUSCEPTIBLE, was infected 0 time(s).
Person 440: (46, 42), status: INFECTED, was infected 1 time(s).
Person 441: (32, 13), status: INFECTED, was infected 0 time(s).
Person 442: (21, 49), status: INFECTED, was infected 1 time(s).
Person 443: (49, 27), status: INFECTED, was infected 1 time(s).
Person 444: (30, 11), status: SUSCEPTIBLE, was infected 0 time(s).
Person 445: (22, 22), status: INFECTED, was infected 1 time(s).
Person 446: (29, 14), status: INFECTED, was infected 0 time(s).
